2019-04-22 09:35:12,"b'RT @FellowsBold: The Fellows are in unchartered territory. Kane punches a yoghurt, Aurelia goes acid fishing, Ada shows of her long jump, a\xe2\x80\xa6'"
2019-04-22 08:34:24,b'I absolutely love the branding and theme of this frozen yoghurt shop we visited with friends the other day. So memo\xe2\x80\xa6 https://t.co/2FX4Ity0B4'
2019-04-22 07:45:43,"b'RT @FellowsBold: The Fellows are in unchartered territory. Kane punches a yoghurt, Aurelia goes acid fishing, Ada shows of her long jump, a\xe2\x80\xa6'"
2019-04-22 07:43:47,"b'The Fellows are in unchartered territory. Kane punches a yoghurt, Aurelia goes acid fishing, Ada shows of her long\xe2\x80\xa6 https://t.co/OgpO4YaqhG'"
2019-04-22 05:43:26,b'How my #wife sees me when I lick the #lid of my #yoghurt for desert \xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\n#dracula #coppola #movie https://t.co/oP0NVTq7nX'
2019-04-22 05:05:28,"b'Red cabbage, parsley and yoghurt @ Tian. #cabbage #parsley #yoghurt #tian #vienna #austria #guidemichelin\xe2\x80\xa6 https://t.co/kaot8pflPE'"
2019-04-22 04:31:55,b'Zucchini + Hazelnut + Yoghurt + Turmeric - delicious @cirrus_dining #cirrusdining #lunch #seafoodrestaurant\xe2\x80\xa6 https://t.co/Iv8HfQbyRP'
2019-04-21 22:23:54,b'#overnight #oats with #chia #seed and #vegan #almond #yoghurt #walnuts #strawberry Coconut #blueberry #sunflower\xe2\x80\xa6 https://t.co/sGhujmW2mz'
2019-04-21 15:28:53,b'Short break to taste #smoothie #banana #ananas #yoghurt #delice #naturality #wellness https://t.co/qi2qBwrRdz'
2019-04-21 15:12:03,b'Suteresi chorba #Watercress &amp; #Yoghurt #soup\xf0\x9f\x8d\xb5 A chilled summer soup from Bulgaria\nGet the Recipe\xe2\x96\xba\xe2\x80\xa6 https://t.co/k5dCf1yKNN'
2019-04-21 12:58:00,"b""RT @PCTLTD_CHEESE: Well we're about to break for #Easter \xf0\x9f\x98\x80\nWishing everyone a Happy Holidays. Don't forget to fill your tummies with plenty\xe2\x80\xa6"""
2019-04-21 12:20:18,"b'RT @easypeasyfoodie: Unbelievably easy, these 2 Ingredient Yogurt Flatbreads are the perfect side dish for tagines, pilafs and other Middle\xe2\x80\xa6'"
2019-04-21 11:41:31,"b'Unbelievably easy, these 2 Ingredient Yogurt Flatbreads are the perfect side dish for tagines, pilafs and other Mid\xe2\x80\xa6 https://t.co/vWPSfrz02a'"
2019-04-21 11:06:12,b'#lamb #lambkebab #lambskewer #mincedlamb #spicylamb #grilled #bbq #mintedyoghurt #mint #yoghurt #tomatoes #seaview\xe2\x80\xa6 https://t.co/b7OgI8pzt6'
2019-04-21 08:50:18,b'RT @iamvasundhara: Yogurt or curds consist of good bacteria or probiotics and regular consumption helps in improving your immunity.\n\n#liveh\xe2\x80\xa6'
2019-04-21 08:39:55,"b'#easter #breakfast @botonique glass of pace and replace, #asparagus #crostaandmollica #toast @coconutcollab\xe2\x80\xa6 https://t.co/o1Ge18sjbl'"
2019-04-21 07:55:33,b'Local produce wherever possible .. that\xe2\x80\x99s our motto. ... and our guest are loving this delicious #yoghurt from Stap\xe2\x80\xa6 https://t.co/Ptbt7Ab7tp'
2019-04-21 04:55:18,b'Yogurberry Sunday #yoghurt #familyday #froyo https://t.co/QcevFpxRWI'
2019-04-21 04:30:06,b'Yogurt or curds consist of good bacteria or probiotics and regular consumption helps in improving your immunity.\xe2\x80\xa6 https://t.co/OjY96hNEZQ'
2019-04-20 20:30:36,b'Chokha Dessert Selection \xe2\x80\xa2 The sweeter side to our cuisine. A vanilla treat. Chokha enabling you to experience the\xe2\x80\xa6 https://t.co/B66gnpQVUV'
2019-04-20 16:32:36,"b'RT @Clawmaw: My yummy homemade pineapple and papaya #frozenyoghurt. \xf0\x9f\x98\x8bThe ingredients are a 500g tub of natural yoghurt, pineapple, papaya a\xe2\x80\xa6'"
2019-04-20 16:30:15,"b'My yummy homemade pineapple and papaya #frozenyoghurt. \xf0\x9f\x98\x8bThe ingredients are a 500g tub of natural yoghurt, pineappl\xe2\x80\xa6 https://t.co/psHjpi1V0E'"
2019-04-20 16:24:21,"b'Sunshiny #breakfast bowl with \xe2\x81\xa6@HolyCrapCereal\xe2\x81\xa9, #BrainFoodSnacks and #Greek #Yoghurt https://t.co/MrxamuCisy'"
2019-04-20 15:46:17,"b""RT @EarlhamInst: For our latest Women in #Computing series, we asked\xc2\xa0Agatha in EI's\xc2\xa0@KorcsmarosLab all about her #PhD, how she got into #bi\xe2\x80\xa6"""
2019-04-20 15:45:41,"b""RT @EarlhamInst: For our latest Women in #Computing series, we asked\xc2\xa0Agatha in EI's\xc2\xa0@KorcsmarosLab all about her #PhD, how she got into #bi\xe2\x80\xa6"""
2019-04-20 15:44:02,"b""For our latest Women in #Computing series, we asked\xc2\xa0Agatha in EI's\xc2\xa0@KorcsmarosLab all about her #PhD, how she got i\xe2\x80\xa6 https://t.co/pFAKRkTVaJ"""
2019-04-20 08:40:13,b'CURE FOR JINIT JACKSON\n\n#yogurt #yoghurt https://t.co/FBOJJ60oDd'
2019-04-20 07:56:23,"b""Good morning to you all! It's the softest sweetest thing you'll ever find. It's djogurt! Raspberry, banana or vanil\xe2\x80\xa6 https://t.co/8y09qNNfAt"""
2019-04-20 05:17:57,"b'https://t.co/HinvdbiqAj\n\n#Lighten Up ,Lighten Up , #Wish Your #Skin #Sweet #Dream\n\n#YOGHURT  #NIGHT  #CREAM\xe2\x80\xa6 https://t.co/DWsmHOFytf'"
2019-04-20 05:16:35,"b'https://t.co/4ag0MVXaBR\n\n#Lighten Up ,Lighten Up , #Wish Your #Skin #Sweet #Dream\n\n#YOGHURT  #NIGHT  #CREAM\xe2\x80\xa6 https://t.co/e7ZD16pIlm'"
2019-04-20 05:13:19,"b'https://t.co/FwZRtdTKW4\n\n#Lighten Up ,Lighten Up , #Wish Your #Skin #Sweet #Dream\n\n#YOGHURT  #NIGHT  #CREAM\xe2\x80\xa6 https://t.co/KRBXxFQSUA'"
